,locations,source_reliability,media,confidence,text,text_translated,_timestamp,num_persons,mode,origin,destination,geom_tweet,triage_status,source,uniqueid
725,"['hungary', 'croatia', 'budapest']",1.0,['http://pbs.twimg.com/media/CRfg8GsUEAAiyjg.jpg'],0.999,Венгрия закрыла для беженцев границу с Хорватией: Венгрия закрыла для беженцев границу с Хорватией. Будапешт… http://t.co/KUIbhmFgoP,hungary has closed the border with croatia for refugees hungary has closed the border with croatia for refugees budapest,2019-11-09 04:31:07,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,716
726,"['hungary', 'croatia']",1.0,,0.983,RT @rogtoris80: Венгрия закрыла свою границу с Хорватией http://t.co/UMS7ldiHLH,rogtoris80 hungary closes its border with croatia,2019-11-09 06:11:10,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,717
727,"['hungary', 'croatia']",1.0,['http://pbs.twimg.com/media/CRgPJn5WwAAKx5Y.jpg'],0.559,Венгрия закрыла границу с Хорватией #Вмире http://t.co/Jdv5XSlqIv http://t.co/bnhjj7lTxj,hungary closed the border with croatia in the world,2019-11-09 07:53:01,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,718
728,['slovenia'],0.998,,0.703,"Первый автобус с мигрантами прибыл к границе со Словенией - Как сообщил пресс-секретарь полиции агентству Reuters,... http://t.co/viweapccle",the first bus with migrants arrived at the border with slovenia as the police spokesman told reuters,2019-11-09 08:02:34,,bus,,,0101000000151DC9E53F042D402CD49AE61D074740,,twitter,719
729,"['hungary', 'croatia']",1.0,,0.995,Венгрия закрыла для мигрантов границу с Хорватией,hungary has closed the border with croatia for migrants,2019-11-09 08:16:08,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,720
730,"['hungary', 'slovenia']",0.885,,0.909,Поток мигрантов перенаправляют из Венгрии в Словению,the flow of migrants redirected from hungary to slovenia,2019-11-09 08:21:15,,,HU,SI0,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,721
731,"['hungary', 'croatia']",1.0,['http://pbs.twimg.com/media/CRgmThqW0AAZWyN.jpg'],0.833,RT @thWestph: Венгрия закрыла границу с Хорватией из-за мигрантов... http://t.co/sp6vqCWxLd http://t.co/vMMkOzJk8q,hungary closed the border with croatia because of migrants,2019-11-09 09:34:11,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,722
732,"['hungary', 'croatia']",1.0,,0.984,Венгрия закрыла от мигрантов границу с Хорватией http://t.co/3Qv1pbr3mU,hungary has closed the border with croatia from migrants,2019-11-09 10:04:48,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,723
733,"['hungary', 'slovenia']",0.817,,0.968,Беженцы хлынули из Венгрии в Словению из-за закрытия границы,refugees rushed from hungary to slovenia because of the closure of the border,2019-11-09 16:34:13,,,HU,SI0,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,724
734,"['slovenia', 'austria']",0.661,,0.82,Словения подключила армию для сдерживания беженцев: Всех беженцев регистрируют и доставляют к австрийской границе.,slovenia joined the army to contain refugees all refugees are registered and brought to the austrian border,2019-11-09 18:39:05,,,,,0101000000151DC9E53F042D402CD49AE61D074740,,twitter,725
735,['slovenia'],0.896,,0.916,#Vmire В Словению за один день прибыли 3 тысячи мигрантов,vmire 3 000 migrants arrived in slovenia in one day,2019-11-10 02:57:51,,,,,0101000000151DC9E53F042D402CD49AE61D074740,,twitter,726
736,"['slovenia', 'croatia']",0.905,,0.563,Около трех тысяч мигрантов прибыли в Словению из Хорватии за вчерашний день - Коммерсантъ,about three thousand migrants arrived in slovenia from croatia yesterday kommersant,2019-11-10 03:21:00,3.0,,HR0,,0101000000151DC9E53F042D402CD49AE61D074740,,twitter,727
737,"['hungary', 'slovenia']",0.917,,0.738,: Беженцы хлынули из Венгрии в Словению из-за закрытия границы http://t.co/DWnrlCUCAM  Источник &lt;,refugees rushed from hungary to slovenia because of the border closure source lt,2019-11-10 07:11:26,,,HU,SI0,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,728
738,"['slovenia', 'croatia', 'serbia']",0.999,,0.978,За сутки в Словению прибыло почти три тысячи мигрантов В субботу сотни беженцев пересекли Хорватию от границы с Сербией до словенского гран,during the day almost three thousand migrants arrived in slovenia on saturday hundreds of refugees crossed croatia from the border with serbia to the slovenian gran,2019-11-10 09:58:34,3.0,,,,0101000000151DC9E53F042D402CD49AE61D074740,,twitter,729
739,"['slovenia', 'hungary']",1.0,,0.845,Тысячи мигрантов прибывают в Словению из Венгрии http://t.co/p6hXMfcvNP Новости Би-би-си,thousands of migrants arrive in slovenia from hungary bbc news,2019-11-10 12:34:37,,,HU,SI0,0101000000151DC9E53F042D402CD49AE61D074740,,twitter,730
740,['italy'],0.831,['http://pbs.twimg.com/media/CRngJokUkAA5wxy.jpg'],0.532,У берегов Италии спасены более 110 мигрантов http://t.co/VeFvetapqR,more than 110 migrants rescued off the coast of italy,2019-11-10 17:44:38,110.0,,,,010100000000000000000029403333333333F34440,,twitter,731
741,"['croatia', 'slovenia', 'hungary']",1.0,,0.999,Хорватия переправляет беженцев в Словению после закрытия Венгрией границы http://t.co/BvR2esF8LW,croatia forwards refugees to slovenia after hungary closes the border,2019-11-11 02:48:07,,,,SI0,01010000004850FC1873F72F40545227A089E84640,,twitter,732
742,"['croatia', 'slovenia']",0.921,,0.59,На границе Хорватии и Словении обострилась ситуация с беженцами,on the border of croatia and slovenia the situation with refugees has deteriorated,2019-11-11 09:49:35,,,,,01010000004850FC1873F72F40545227A089E84640,,twitter,733
743,"['hungary', 'slovenia']",0.992,,0.966,"После закрытия границы в #Венгрию тысячи #мигрантов хлынули на #Словению 
http://t.co/JC5W0pWD2m #беженцы",after closing the border to hungary thousands of migrants rushed to slovenia refugees,2019-11-11 11:53:56,,,,HU,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,734
744,"['serbia', 'croatia']",0.925,,0.642,"Хорватская полиция не пропускает через границу около 50 автобусов с беженцами, пытающимися въехать в страну со стороны Сербии. Об этом…",croatian police do not allow about 50 buses across the border with refugees trying to enter the country from serbia about it,2019-11-11 14:10:06,50.0,bus,RS,,01010000000F0BB5A679773440545227A089684640,,twitter,735
745,['slovenia'],0.783,,0.915,МВД: около 5 тысяч мигрантов прибыли в Словению в понедельник,mia about 5 thousand migrants arrived in slovenia on monday,2019-11-11 15:47:59,,,,,0101000000151DC9E53F042D402CD49AE61D074740,,twitter,736
746,"['croatia', 'serbia']",1.0,['http://pbs.twimg.com/media/CRsaSX1UAAAe8U6.jpg'],0.536,Хорватия открыла границу с Сербией для прохода мигрантов http://t.co/QD8kREhQbj,croatia opened the border with serbia for the passage of migrants,2019-11-11 16:37:07,,,,,01010000004850FC1873F72F40545227A089E84640,,twitter,737
747,"['croatia', 'serbia']",0.93,,0.982,Хорватия открыла для беженцев границу с Сербией,croatia has opened a border with serbia for refugees,2019-11-11 17:04:14,,,,,01010000004850FC1873F72F40545227A089E84640,,twitter,738
748,"['croatia', 'serbia']",1.0,['http://pbs.twimg.com/media/CRsiUCGUEAAl4Be.jpg'],0.795,Хорватия открыла границу с Сербией для тысяч мигрантов http://t.co/GLLWK4fpH7,croatia opened the border with serbia to thousands of migrants,2019-11-11 17:12:11,,,,,01010000004850FC1873F72F40545227A089E84640,,twitter,739
749,['moscow'],0.057,,0.867,Полиция в Москве задержала около 500 мигрантов,police in moscow detained about 500 migrants,2019-11-13 15:58:03,500.0,,,,,,twitter,740
750,['moscow'],0.0,,0.703,В Москве полицейские выпрашивали у мигрантов 1000 рублей «на...,in moscow the police begged 1000 rubles from migrants for,2019-11-13 21:28:10,,,,,,,twitter,741
751,"['slovenia', 'austria']",0.998,,0.952,Полиция Австрии открыла проход для беженцев на границе со Словенией,austrian police opened a passage for refugees on the border with slovenia,2019-11-14 11:44:35,,,,,0101000000151DC9E53F042D402CD49AE61D074740,,twitter,742
752,"['croatia', 'serbia']",1.0,['http://pbs.twimg.com/media/CSCeBM_U8AEep-Q.jpg'],0.778,Хорватия открыла границу с Сербией для тыс. мигрантов https://t.co/BMFRp3lHq7,croatia opened the border with serbia for thousands of migrants,2019-11-15 23:25:04,,,,,01010000004850FC1873F72F40545227A089E84640,,twitter,743
753,"['croatia', 'slovenia']",0.995,['http://pbs.twimg.com/media/CSMQtW0UcAAzb0Z.jpg'],0.86,Хорватия доставила 4 тысячи мигрантов на границу со Словенией https://t.co/UCwSfYdqEN,croatia delivered 4 000 migrants to the border with slovenia,2019-11-17 21:03:07,4000.0,,,,01010000004850FC1873F72F40545227A089E84640,,twitter,744
754,"['czech republic', 'austria']",0.128,,0.532,"В Чехии беженцы обходят пограничные кордоны, чтобы добраться до Австрии",in the czech republic refugees bypass border cordons to get to austria,2019-11-18 09:58:34,,,,,0101000000857CD0B359D52C40DFE00B93A90A4940,,twitter,745
755,"['slovenia', 'european union']",0.262,,0.799,"Словения закрыла границы для беженцев, продолжающих прибывать в Евросоюз",slovenia closed borders for refugees continuing to arrive in the european union,2019-11-18 10:54:35,,,,,0101000000151DC9E53F042D402CD49AE61D074740,,twitter,746
756,"['croatia', 'slovenia']",0.463,['http://pbs.twimg.com/media/CSVtL4TUsAA-F7E.jpg'],0.974,Хорватия напрямую начала отправлять мигрантов поездами в Словению https://t.co/tAY86kgb36,croatia directly started sending migrants by train to slovenia,2019-11-19 17:04:07,,train,,SI0,01010000004850FC1873F72F40545227A089E84640,,twitter,747
757,['aegean sea'],0.252,,0.713,В Эгейском море погибли по меньшей мере 10 мигрантов #вмире,at least 10 migrants died in the aegean sea,2019-11-21 10:40:37,10.0,,,,01010000003333333333F336400000000000804340,,twitter,748
758,"['syria', 'russia', 'norway']",0.911,['http://pbs.twimg.com/media/CSfbO6vUwAACLQI.jpg'],0.679,СМИ: На границе РФ с Норвегией застряли 500 сирийских беженцев https://t.co/bNscpNGkqX,media 500 syrian refugees stuck on the border of russia and norway,2019-11-21 14:21:53,500.0,,,,0101000000E8D9ACFA5C254240EFC9C342ADC14040,,twitter,749
759,"['syria', 'russia', 'norway']",0.817,['http://pbs.twimg.com/media/CSjyEIYUwAAhy-w.jpg'],0.549,СМИ: На границе России и Норвегией застряли 500 мигрантов из Сирии https://t.co/BCWXCgSTY3 https://t.co/0AkM6dSPRp,media 500 migrants from syria stuck on the border between russia and norway,2019-11-22 10:40:07,500.0,,,,0101000000E8D9ACFA5C254240EFC9C342ADC14040,,twitter,750
760,"['slovenia', 'austria']",0.934,,0.905,RT @mrrulkin1: Тысячи беженцев  устроили столпотворение на границе Словении с Австрией,mrrulkin1 thousands of refugees raided the slovenian austrian border,2019-11-23 12:04:39,,,,,0101000000151DC9E53F042D402CD49AE61D074740,,twitter,751
761,[],0.181,,0.512,Глава ДНР Александр Захарченко выразил соболезнования...,the head of the dpr alexander zakharchenko expressed condolences,2019-11-24 05:42:45,,,,,,,twitter,752
762,"['greece', 'luxembourg']",0.0,,0.939,Греция отправила самолетом в Люксембург 30 мигрантов,greece sent 30 migrants by plane to luxembourg,2019-11-27 10:29:55,30.0,,,LU,010100000000000000000036400000000000804340,,twitter,753
763,['mediterranean sea'],0.948,,0.703,ООН: в Европу по Средиземному морю прибыли 750 тысяч мигрантов,un 750 000 migrants arrived in europe in the mediterranean sea,2019-11-27 18:42:42,750000.0,,,,010100000000000000000032400000000000804140,,twitter,754
764,"['syria', 'russia', 'norway']",0.401,,0.923,RT @totingri89: СМИ сообщили о 500 сирийских беженцах на границе России с Норвегией,totingri89 the media reported about 500 syrian refugees on the russian border with norway,2019-11-29 11:21:12,500.0,,,,0101000000E8D9ACFA5C254240EFC9C342ADC14040,,twitter,755
765,"['slovenia', 'austria']",0.993,,0.666,Тысячи беженцев устроили давку на границе Словении с Австрией,thousands of refugees staged a crush on the border of slovenia with austria,2019-11-29 19:09:04,,,,,0101000000151DC9E53F042D402CD49AE61D074740,,twitter,756
766,['austria'],0.358,,0.51,Австрия примет решение о продлении погранконтроля из-за мигрантов,austria will decide on the extension of the border control due to migrants,2019-12-02 23:06:37,,,,,010100000076711B0DE05D30409A99999999194840,,twitter,757
767,['sweden'],0.872,,0.966,Швеция вводит пограничный контроль из-за наплыва беженцев,sweden introduces border controls due to the influx of refugees,2019-12-05 04:57:25,,,,,,,twitter,758
768,['sweden'],0.884,['http://pbs.twimg.com/media/CTsRhakVEAASHIZ.jpg'],0.704,Швеция ввела пограничный контроль из-за наплыва мигрантов https://t.co/KovV6Ws4fo,sweden imposed border controls due to the influx of migrants,2019-12-06 12:30:13,,,,,,,twitter,759
769,['france'],0.06,,0.553,Франция вводит чрезвычайное положение и закрывает границы,france introduces state of emergency and closes borders,2019-12-06 23:09:13,,,,,,,twitter,760
770,"['france', 'russia']",0.43,,0.774,Франсуа Олланд закрывает границы Франции https://t.co/wug03iROvI #russian #новости #news,francois hollande closes the borders of france russian news news,2019-12-06 23:29:02,,,,,,,twitter,761
771,['france'],0.046,,0.7,RT @sanndrio: Франция закрыла границы. Введено Чрезвычайное Положение. Отменены все массовые мероприятия.,france has closed borders entered state of emergency canceled all public events,2019-12-07 05:38:30,,,,,,,twitter,762
772,['france'],0.32,,0.767,Пограничный контроль возобновлен на границах Франции,border control resumed at the borders of france,2019-12-07 09:13:33,,,,,,,twitter,763
773,[],0.102,,0.917,Глава ДНР Александр Захарченко выразил соболезнование...,the head of the dni alexander zakharchenko expressed condolences,2019-12-07 09:46:38,,,,,,,twitter,764
774,[],0.022,,0.612,"RT @cjmimun: Parigi: chiuse stazioni metropolitana a Bruxelles
Circolano gli autobus, ma non tutti i tram",paris brussels metro stations closed buses circulate but not all trams,2019-12-14 07:55:04,,bus,,,,,twitter,765
775,"['cagliari', 'palermo']",0.051,['http://pbs.twimg.com/media/CNLPk6wWEAAz5Lw.jpg'],0.921,"Emergenza immigrazione, oltre 1500 i migranti sbarcati oggi tra Cagliari e Palermo.
Se ne parla ora a #TG24Pomeriggio http://t.co/BS5hVZkoOL",immigration emergency over 1500 migrants landed today between cagliari and palermo if they talk about it now at tg24 afternoon,2019-09-16 13:00:04,1500.0,,,,01010000006284F068E3382240B003E78C289D4340,,twitter,766
776,"['hungary', 'serbia']",0.943,,0.69,"RT @SkyTG24: #UltimOra #Migranti in fuga da campo #Ungheria, chiuso confine con #Serbia #SkyTG24canale27 http://t.co/cDqTVlDB0v",skytg24 ultimora migrants fleeing from camp hungary closed border with serbia skytg24canale27,2019-09-27 11:22:40,,,HU,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,767
777,"['budapest', 'vienna']",0.954,['http://pbs.twimg.com/media/COEsPSoWwAEy8Px.jpg'],0.993,RT @rossipresidente: #refugeeswelcome La #pace oggi cammina da #Budapest a #Vienna http://t.co/3KKGYZcVG5,refugeeswelcome the pace today walks from budapest to vienna,2019-09-27 16:43:46,,on foot,HU110,AT13,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,768
778,['reggio calabria'],0.403,,0.73,"Giunti nel porto di Reggio 351 migranti
 REGGIO CALABRIA – E’ giunta nel porto di Reggio Calabria la nave... http://t.co/aDCqVCtNgK",arrived in the port of reggio 351 migrants reggio calabria the ship has arrived in the port of reggio calabria,2019-10-24 10:54:59,351.0,boat,,,0101000000DE718A8EE4522F402063EE5A420E4340,,twitter,769
779,"['hungary', 'croatia']",0.843,['http://pbs.twimg.com/media/CQZkhCRWoAAr-Kd.jpg'],0.734,"RT @Agenzia_Ansa: #Migranti, chiuso Eurotunnel invaso da 100 profughi. Ungheria conclude muro con Croazia http://t.co/i5iZWU84Wo http://t.c…",migranti closed eurotunnel invaded by 100 refugees hungary concludes wall with croatia t c,2019-10-26 14:33:20,100.0,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,770
780,[],0.73,['http://pbs.twimg.com/media/CHEttJ7WoAArhyC.jpg'],0.852,RT @RaiNews: 103mila i #migranti arrivati sulle coste europee attraverso il #Mediterraneo nel 2015 (Unhcr) http://t.co/YpAuzF58pq http://t.…,103 000 migrants arrived on the european coasts through the mediterranean in 2015 unhcr t,2019-07-02 17:00:11,,,,,,,twitter,771
781,['umbria'],0.039,,0.568,"RT @CorriereUmbria: #Umbria Arrivano altri 80 #migranti, ma c’è chi fa subito perdere le tracce - Corriere dell'Umbria http://t.co/JLusUoKU…",corriereumbria umbria another 80 migrants are arriving but there are those who immediately lose track corriere dellumbria,2019-05-28 07:07:48,80.0,,,,,,twitter,772
782,"['cagliari', 'libya']",0.375,,0.718,"Cagliari: 210 migranti soccorsi in Libia sono sbarcati al porto canale, chiusa e subito… http://t.co/oAPWmoWiV5",cagliari 210 migrants rescued in libya landed at the canal port closed and immediately,2019-05-30 12:50:40,210.0,,,,01010000006284F068E3382240B003E78C289D4340,,twitter,773
783,['austria'],1.0,,0.992,Immigrazione: 23 profughi fermati vicino a confine austriaco http://t.co/9wIpYBA835,immigration 23 refugees stopped near the austrian border,2019-05-31 17:04:26,23.0,,,,010100000076711B0DE05D30409A99999999194840,,twitter,774
784,"['milano', 'austria']",0.257,,0.594,"Frontiera austriaca blindata: i #migranti fermi al Brennero. E alcuni ritornano a #Milano

http://t.co/fPin1pKyUI",reinforced austrian border the migrants stopped at the brenner and some come back to milano,2019-06-22 05:59:48,,,,ITC4C,010100000059C0046EDD5D224088855AD3BCBB4640,,twitter,775
785,[],0.024,['http://pbs.twimg.com/media/CGVFzmzWoAA0v9l.jpg'],0.55,RT @ItalianNavy: #SAR Nave Fenice  #MarinaMilitare ha terminato ad #Augusta  lo sbarco dei 454 #migranti soccorsi http://t.co/dp4HAzXjhA,sar fenice ship marinamilitare has ended the landing of the 454 migrants rescued at augusta,2019-06-23 11:03:45,454.0,boat,,,,,twitter,776
786,[],0.999,,0.877,Da inizio 2015 circa 90mila #rifugiati e #migranti hanno attraversato il #Mediterraneo per raggiungere l’Europa http://t.co/Am69zV69iD,since the beginning of 2015 around 90 000 refugees and migrants have crossed the mediterranean to reach europe,2019-06-28 14:17:02,90000.0,,,,,,twitter,777
787,[],0.009,,0.662,RT @ItalianNavy: #SAR Nave FASAN #marinamilitare inizia operazioni di recupero di 120 #migranti da #gommone in difficoltà.,sar fasan ship marinamilitare starts recovery operations of 120 migrants from gommone in difficulty,2019-06-30 13:25:26,120.0,boat,,,,,twitter,778
788,[],0.01,,0.53,"RT @Youstitia: Migranti a Bologna, Lega Nord: “Bloccare gli autobus e rispedirli indietro” http://t.co/ZRajQ76zM6",migrants in bologna lega nord block the buses and send them back,2019-07-01 14:06:26,,bus,,,,,twitter,779
789,"['france', 'italy']",0.513,,0.928,La Francia violenta contro i migranti. E chiude le frontiere all'Italia  http://t.co/CPnHvf5ljF,violent france against migrants it closes the borders to italy,2019-07-05 14:29:17,,,,,,,twitter,780
790,[],0.0,,0.608,"RT @EleonoraCamilli: Una tensostruttura a #Tiburtina per alleggerire situazione #Baobab 250 #migranti trasferiti già stasera, dice #Danese
…",a tiburtina tensile structure to lighten up baobab 250 situation migrants already transferred tonight says danese,2019-07-06 13:45:44,250.0,,,,,,twitter,781
791,['france'],0.01,,0.921,#migranti: francia chiude frontiere e noi con le stazioni piene di disperati. Un altro trionfo dei nostri demagoghi finti solidali.vergogna!,migrants france closes borders and us with desperate stations another triumph of our fake solidarity demagogues,2019-07-06 17:18:04,,,,,,,twitter,782
792,['france'],0.991,,0.7,"Migranti, la Francia blinda le frontiere. Europa divisa sui profughi http://t.co/z9KiCrCwne",migrants france blinds the borders europe divided on refugees,2019-07-06 20:51:04,,,,,,,twitter,783
793,"['ventimiglia', 'france']",0.015,['http://pbs.twimg.com/media/CHcXxkQW8AAmg8A.jpg'],0.626,"RT @1001ptsIT: La Francia chiude le frontiere, i migranti bloccati a Ventimiglia. E’ caos http://t.co/xXyPhOZO1F http://t.co/b87j2cnsDe",1001ptsit france closes borders migrants blocked in ventimiglia it is chaos,2019-07-07 07:15:15,,,,,0101000000E5B33C0FEE6E1E40B003E78C28E54540,,twitter,784
794,"['switzerland', 'france', 'italy']",0.951,['http://pbs.twimg.com/media/CHfB_3TWsAI0txN.jpg'],0.937,"RT @massimo_limonta: SVIZZERA respinge migliaia di migranti, Francia gendarmerie su confine, altri UE chiudono frontiere.
Italia subisce. h…",switzerland rejects thousands of migrants france gendarmerie on the border other eu closes borders italy suffers h,2019-07-07 19:38:58,,,,,010100000019E76F4221C21D40EE5A423EE8794740,,twitter,785
795,"['hungary', 'serbia']",0.998,['http://pbs.twimg.com/media/CHuXCzFWEAERmK3.jpg'],0.643,"RT @SkyTG24: Domani dalle 10 #immigrazione #Ungheria, muro al confine con Serbia per fermare i migranti. Commentate #FattieDomande http://t…",skytg24 tomorrow from 10 am immigration hungary a wall on the border with serbia to stop migrants commented fattiedomande t,2019-07-10 19:05:13,10.0,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,786
796,['catania'],0.375,,0.538,Sono 419 i migranti sbarcati stamattina nel porto di Catania. http://t.co/OTcxXy9cCQ,419 migrants landed this morning in the port of catania,2019-07-23 15:18:52,419.0,,,,010100000058A835CD3B2E2E400000000000C04240,,twitter,787
797,['palermo'],0.439,['http://pbs.twimg.com/media/CIwivyLWwAAPdb9.jpg'],0.885,RT @Piovegovernolad: 647 migranti in arrivo a porto di Palermo - http://t.co/B4eyIvM8B8 http://t.co/mOwRuDm9Or,647 migrants arriving at the port of palermo,2019-07-23 15:31:17,647.0,,,,0101000000EBE2361AC0BB2A40BBB88D06F00E4340,,twitter,788
798,"['serbia', 'hungary']",0.93,['http://pbs.twimg.com/media/CKC_pouUEAAsySg.jpg'],0.595,"RT @Internazionale: Al confine tra Serbia e Ungheria, sulle tracce dei migranti che sognano l'Europa. http://t.co/ZnCOKe251n http://t.co/ID…",on the border between serbia and hungary on the trail of migrants who dream of europe,2019-08-08 21:01:02,,,,,01010000000F0BB5A679773440545227A089684640,,twitter,789
799,['brussels'],0.048,,0.906,Salvini: i migranti in arrivo portiamoli sui pullman a Bruxelles Salvini: i migranti in arrivo portiamoli sui pullman a Bruxelles -...,salvini incoming migrants take them on buses to brussels salvini incoming migrants take them on buses to brussels,2019-08-24 18:40:06,,bus,,BE100,,,twitter,790
800,[],0.999,['http://pbs.twimg.com/media/CM2rx0OWEAA52eE.jpg'],0.985,RT @UNHCRItalia: Circa 264.500 #rifugiati e #migranti hanno attraversato il #Mediterraneo a partire da gennaio. http://t.co/uaBkVcstDM http…,approximately 264 500 refugees and migrants have crossed the mediterranean since january,2019-09-12 13:11:15,264500.0,,,,,,twitter,791
801,"['grecia', 'macedonia']",0.679,,0.569,RT @ultimenotizie: 5 migranti sono rimasti feriti negli scontri scoppiati al confine tra la #Grecia e la #Macedonia dove sono ammassati mig…,5 migrants were injured in clashes that broke out on the border between grecia and macedonia where mig,2019-09-13 13:05:51,5.0,,,,010100000000000000000036400000000000804340,,twitter,792
802,['macedonia'],0.994,,0.574,"Macedonia, migliaia di migranti bloccati alla frontiera. Molti riescono a passare http://t.co/qUHhtQV9md",macedonia thousands of migrants stranded at the border many manage to pass,2019-09-14 14:02:34,,,,,0101000000575BB1BFEC6E35400000000000004540,,twitter,793
803,['macedonia'],0.042,['http://pbs.twimg.com/media/CNBxOh7WoAAP-zV.jpg'],0.805,"""Macedonia, ancora frontiere chiuse. I migranti passano dal filo spinato"" - http://t.co/lt7wNeffC7 http://t.co/jvg5cMgDxk",macedonia still closed borders migrants pass by barbed wire,2019-09-14 16:50:53,,,,,0101000000575BB1BFEC6E35400000000000004540,,twitter,794
804,['macedonia'],0.054,['http://pbs.twimg.com/media/CNFgm38W8AAo2W1.jpg'],0.978,"RT @Corriereit: In arrivo i 4.400 migranti salvati Macedonia apre la frontiera|foto
 http://t.co/Nl4FxyRGcz http://t.co/dJSjAZskcn",corriereit on arrival the 4 400 migrants saved macedonia opens the border photo,2019-09-15 10:16:45,4400.0,,,,0101000000575BB1BFEC6E35400000000000004540,,twitter,795
805,['italia'],0.124,,0.736,Da lunedì più di 2200 migranti sono sbarcati sulle coste italiane. Croce Rossa li ha accolti nei porti e si... http://t.co/GrW9O2xz6y,since monday more than 2 200 migrants have landed on the italian coasts croce rossa welcomed them in the ports and,2019-09-19 18:01:54,2200.0,,,,010100000000000000000029403333333333F34440,,twitter,796
806,['budapest'],0.984,,0.985,"Caos a Budapest, stop circolazione treni: migliaia di migranti in arrivo - Caos a Budapest, stop... http://t.co/iBQ1zP1ljU",chaos in budapest train stops thousands of migrants arriving chaos in budapest stop,2019-09-24 08:49:00,,train,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,797
807,"['hungary', 'budapest']",0.779,['http://pbs.twimg.com/media/CNz1VLiWsAArASD.jpg'],0.993,RT @Internazionale: L'Ungheria chiude la stazione di Budapest per fermare i migranti. Reportage dall'archivio. http://t.co/QIEiwAocVo http:…,hungary closes the budapest station to stop migrants reportage from the archive,2019-09-24 10:09:55,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,798
808,['croatia'],0.981,['http://pbs.twimg.com/media/CN4rJq_WEAAoNsb.jpg'],0.796,"RT @Internazionale: Reportage dalla Croazia, dove arrivano migliaia di migranti che nessuno sa come gestire. http://t.co/rxdnS21Wvs http://…",reportage from croatia where thousands of migrants arrive that nobody knows how to manage,2019-09-25 08:43:32,,,HR0,,01010000004850FC1873F72F40545227A089E84640,,twitter,799
809,['hungary'],0.655,,0.882,"Altri 2.284 migranti e profughi sono entrati in #Ungheria nelle ultime 24 ore, circa 500 in più rispetto alla giornata precedente.",another 2 284 migrants and refugees entered hungary in the last 24 hours around 500 more than the previous day,2019-09-25 09:18:59,,,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,800
810,['budapest'],0.224,,0.839,"Ancora tensione a Budapest: la polizia riapre la stazione, i migranti assaltano un treno (il Giornale)  http://t.co/JRGJ0SjJZJ",still tension in budapest the police reopen the station the migrants storm a train the journal,2019-09-26 08:46:03,,train,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,801
811,"['budapest', 'vienna']",0.935,,0.8,"La marcia dei migranti attraversa l’Europa, centinaia a piedi da Budapest verso Vienna http://t.co/oD4WU8AtF3 via @la_stampa",the march of migrants crosses europe hundreds of feet from budapest to vienna via,2019-09-27 19:39:06,,on foot,HU110,AT13,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,802
812,"['hungary', 'austria']",1.0,,0.97,"Ungheria, migranti su bus verso Austria http://t.co/LXtBtH0K46",hungary migrants on buses to austria,2019-09-28 00:12:40,,bus,,,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,803
813,"['budapest', 'vienna', 'italy']",0.897,,0.873,#Esteri: Lunga marcia dei migranti A piedi da Budapest a Vienna - AGI - Agenzia Giornalistica Italia http://t.co/MbLLSaAmbn,esteri long march of migrants on foot from budapest to vienna agi italy news agency,2019-09-28 00:16:58,,on foot,HU110,AT13,0101000000B003E78C280D3340D7A3703D0ABF4740,,twitter,804
814,['budapest'],0.489,,0.644,"RT @ultimenotizie: Lunghe code alla stazione Keleti di #Budapest, dove decine di migranti e profughi tentano di prendere un treno per arriv…",long queues at the keleti station of budapest where dozens of migrants and refugees try to catch a train to arrive,2019-10-01 09:55:54,,train,,,010100000068226C787A1533402B1895D409C04740,,twitter,805
815,"['denmark', 'germany']",0.132,,0.583,"Migranti, la Danimarca si blinda: bloccati tutti i treni dalla Germania....
L’emergenza migranti prosegue... http://t.co/dAYjdYwWH2",migrants denmark blinds itself all trains from germany are blocked the migrants emergency continues,2019-10-02 20:07:45,,train,DE,,,,twitter,806
